id,filename,title,doi,url
1,pdfs/1-s2.0-S0926860X18305003-main.pdf,Investigation of ZSM-5 catalysts for dimethylether conversion using inelastic neutron scattering,10.1016/j.apcata.2018.10.010,https://www.sciencedirect.com/science/article/pii/S0926860X18305003
2,pdfs/acscatal.9b01820.pdf,Elementary Steps in the Formation of Hydrocarbons from Surface Methoxy Groups in HZSM‑5 Seen by Synchrotron Infrared Microspectroscopy,10.1021/acscatal.9b01820,https://pubs.acs.org/doi/10.1021/acscatal.9b01820
3,pdfs/acscatal.9b04186.pdf,Machine Learning for Catalysis Informatics: Recent Applications and Prospects,10.1021/acscatal.9b04186,https://pubs.acs.org/doi/10.1021/acscatal.9b04186
4,pdfs/c8cp05975f.pdf,Hydrogen adsorption on transition metal carbides: a DFT study,10.1039/c8cp05975f,https://pubs.rsc.org/ko/content/articlehtml/2019/cp/c8cp05975f
5,pdfs/c8ob00066b.pdf,QM/MM simulations identify the determinants of catalytic activity differences between type II dehydroquinase enzymes,10.1039/c8ob00066b,https://pubs.rsc.org/ko/content/articlehtml/2019/cp/c8ob00066b
6,pdfs/cs5b01936_si_Proof.pdf,Supporting Information ReOx/TiO2 – a recyclable solid catalyst for deoxydehydration,,https://pubs.acs.org/doi/suppl/10.1021/acscatal.5b01936/suppl_file/cs5b01936_si_001.pdf
7,pdfs/cs5b01936MainProof.pdf,ReOx/TiO2: A Recyclable Solid Catalyst for Deoxydehydration,10.1021/acscatal.5b01936,https://pubs.acs.org/doi/10.1021/acscatal.5b01936
8,pdfs/Decarolis2018_Article_EffectOfParticleSizeAndSupport.pdf,"Effect of Particle Size and Support Type on Pd Catalysts for 1,3-Butadiene Hydrogenation",10.1007/s11244-018-0887-4,https://link.springer.com/article/10.1007/s11244-018-0887-4
9,pdfs/fchem-07-00182.pdf,Advances in Sustainable Catalysis: A Computational Perspective,10.3389/fchem.2019.00182,https://www.frontiersin.org/articles/10.3389/fchem.2019.00182/full
10,pdfs/PhysRevB.66.224405.pdf,Multiedge refinement of extended x-ray-absorption fine structure of manganese zinc ferrite nanoparticles,10.1103/PhysRevB.66.224405,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.66.224405#fulltext
